,Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt
0,1,1,1,0,112500,4,4,1,1,1,0,0,0,16,2,59,4,0,30
1,0,0,1,0,270000,0,4,3,1,1,0,1,1,14,1,53,9,0,5
2,0,0,1,0,270000,0,4,3,1,1,0,1,1,14,1,53,9,0,5
3,0,0,1,0,270000,0,4,3,1,1,0,1,1,14,1,53,9,0,27
4,0,0,1,0,270000,0,4,3,1,1,0,1,1,14,1,53,9,0,39
5,1,1,1,0,270000,4,1,1,1,1,1,1,1,0,2,47,3,0,6
6,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,8
7,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,9
8,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,9
9,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,9
10,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,5
11,1,1,1,0,135000,0,4,1,1,1,0,0,0,8,2,49,4,0,4
12,0,1,0,0,130500,4,2,1,1,1,0,0,0,0,2,30,4,1,25
13,0,1,0,0,130500,4,2,1,1,1,0,0,0,0,2,30,4,7,23
14,0,0,1,0,157500,4,4,1,1,1,0,1,0,8,2,28,5,2,30
15,0,0,1,0,157500,4,4,1,1,1,0,1,0,8,2,28,5,2,18
16,0,0,1,0,157500,4,4,1,1,1,0,1,0,8,2,28,5,2,33
17,1,1,1,3,270000,4,4,1,1,1,0,0,0,8,5,35,4,0,17
18,1,1,1,3,270000,4,4,1,1,1,0,0,0,8,5,35,4,0,17
19,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,31
20,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,14
21,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,56
22,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,5
23,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,9
24,1,0,1,1,405000,0,1,1,1,1,0,0,0,10,3,33,6,0,30
25,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,33
26,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,12
27,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,33
28,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,12
29,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,26
30,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,12
31,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,1
32,1,1,1,0,112500,0,4,1,1,1,0,1,0,4,2,57,13,0,16
33,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,2
34,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,29
35,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,4
36,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,28
37,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,11
38,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,5
39,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,4
40,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,4
41,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,3
42,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,2
43,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,3
44,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,2
45,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,2
46,0,1,1,2,135000,4,4,1,1,1,0,0,0,8,4,44,9,0,4
47,0,0,1,1,211500,2,4,0,1,1,0,0,0,3,3,45,20,0,25
48,0,0,1,1,211500,2,4,0,1,1,0,0,0,3,3,45,20,0,12
49,1,1,1,0,360000,0,4,1,1,1,0,1,0,16,2,46,15,1,10
50,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,22
51,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,46
52,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,40
53,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,44
54,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,8
55,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,3,9
56,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,22
57,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,11
58,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,20
59,0,0,1,2,126000,0,1,1,1,1,0,0,1,10,4,34,5,0,40
60,0,0,1,0,247500,0,1,2,4,1,0,0,0,3,1,47,4,0,6
61,0,0,1,0,247500,0,1,2,4,1,0,0,0,3,1,47,4,0,5
62,0,0,1,0,247500,0,1,2,4,1,0,0,0,3,1,47,4,0,6
63,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,8
64,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
65,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,37
66,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,37
67,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,35
68,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
69,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
70,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,21
71,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
72,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,21
73,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
74,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20
75,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
76,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20
77,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
78,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20
79,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
80,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20
81,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
82,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20
83,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
84,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,20
85,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
86,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,18
87,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
88,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,17
89,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
90,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,16
91,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,16
92,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,15
93,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,14
94,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,13
95,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,13
96,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,13
97,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,13
98,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,11
99,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,10
100,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,1,9
101,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,8
102,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,7
103,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,6
104,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,6
105,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,6
106,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,5
107,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,5
108,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,4
109,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,2
110,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,2
111,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,1
112,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,2
113,0,0,1,0,297000,0,4,3,4,1,0,0,0,8,1,43,9,0,8
114,0,0,0,0,157500,0,1,1,1,1,0,1,0,6,2,38,14,3,13
115,0,0,0,0,157500,0,1,1,1,1,0,1,0,6,2,38,14,0,15
116,0,0,0,0,157500,0,1,1,1,1,0,1,0,6,2,38,14,3,13
117,0,0,0,0,157500,0,1,1,1,1,0,1,0,6,2,38,14,3,13
118,0,0,0,0,157500,0,1,1,1,1,0,1,0,6,2,38,14,3,13
119,1,0,1,0,135000,4,4,1,1,1,1,1,0,4,2,43,4,0,13
120,1,0,1,0,135000,4,4,1,1,1,1,1,0,4,2,43,4,0,13
121,1,0,1,0,135000,4,4,1,1,1,1,1,0,4,2,43,4,0,1
122,1,0,1,0,135000,4,4,1,1,1,1,1,0,4,2,43,4,0,13
123,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,5
124,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,40
125,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,40
126,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,4
127,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,16
128,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,29
129,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,27
130,0,1,1,0,135000,4,4,1,1,1,0,0,0,8,2,49,5,0,39
131,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,11
132,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,12
133,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,59
134,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,11
135,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,11
136,1,1,1,0,112500,2,4,1,1,1,0,1,0,4,2,58,7,0,17
137,0,1,1,0,270000,4,4,2,1,1,1,1,0,1,1,46,4,0,29
138,0,1,1,0,270000,4,4,2,1,1,1,1,0,1,1,46,4,0,7
139,0,1,1,0,270000,4,4,2,1,1,1,1,0,1,1,46,4,0,18
140,0,1,1,0,270000,4,4,2,1,1,1,1,0,1,1,46,4,0,20
141,0,1,1,0,270000,4,4,2,1,1,1,1,0,1,1,46,4,0,19
142,0,1,1,0,270000,4,1,1,1,1,0,0,1,10,2,30,3,0,4
143,0,1,1,0,270000,4,1,1,1,1,0,0,1,10,2,30,3,0,4
144,1,1,1,0,157500,4,4,1,1,1,0,0,0,4,2,28,3,0,23
145,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7
146,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7
147,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7
148,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,11
149,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,11
150,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7
151,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,11
152,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7
153,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,6
154,1,0,1,0,166500,4,4,1,1,1,1,1,0,8,2,52,18,0,7
155,0,1,1,0,270000,0,4,1,1,1,0,0,1,8,2,55,30,0,22
156,0,1,1,0,225000,0,4,1,1,1,0,0,0,8,2,40,8,1,10
157,0,1,1,0,225000,0,4,1,1,1,0,0,0,8,2,40,8,0,16
158,0,0,1,0,315000,4,4,3,1,1,0,0,0,0,1,29,4,0,14
159,0,0,1,0,315000,4,4,3,1,1,0,0,0,0,1,29,4,0,14
160,0,0,1,2,157500,4,4,3,1,1,0,0,0,3,3,40,2,0,9
161,0,0,1,2,157500,4,4,3,1,1,0,0,0,3,3,40,2,0,4
162,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,0,21
163,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,0,19
164,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,1,14
165,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,1,14
166,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,0,8
167,0,0,1,0,148500,4,1,1,1,1,0,0,0,3,2,49,3,0,12
168,0,0,1,2,202500,4,1,1,1,1,0,0,1,3,4,31,7,0,14
169,0,0,1,2,202500,4,1,1,1,1,0,0,1,3,4,31,7,1,42
170,0,0,1,2,202500,4,1,1,1,1,0,0,1,3,4,31,7,0,48
171,0,0,1,2,202500,4,1,1,1,1,0,0,1,3,4,31,7,0,14
172,0,0,1,2,202500,4,1,1,1,1,0,0,1,3,4,31,7,0,14
173,1,0,1,0,202500,4,4,3,1,1,1,0,0,4,1,25,3,0,10
174,1,0,1,0,202500,4,4,3,1,1,1,0,0,4,1,25,3,0,10
175,0,1,1,0,112500,0,4,3,1,1,0,1,1,12,1,21,3,0,1
176,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,38
177,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,28
178,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,5
179,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,11
180,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,16
181,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,5
182,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,23
183,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,36
184,1,1,1,0,315000,4,4,0,1,1,0,0,0,14,2,29,6,0,38
185,0,1,1,0,270000,0,2,0,2,1,0,1,1,6,2,29,9,0,21
186,0,1,1,0,270000,0,2,0,2,1,0,1,1,6,2,29,9,0,24
187,0,1,1,1,450000,2,1,1,1,1,0,1,1,3,3,49,2,0,23
188,0,1,1,1,450000,2,1,1,1,1,0,1,1,3,3,49,2,0,24
189,1,0,1,1,180000,4,4,1,5,1,0,0,0,4,3,39,4,0,31
190,0,0,1,0,112500,4,1,0,1,1,0,0,1,8,2,28,9,0,44
191,0,0,1,0,112500,4,1,0,1,1,0,0,1,8,2,28,9,4,12
192,0,0,1,0,112500,4,1,0,1,1,0,0,1,8,2,28,9,0,17
193,1,0,1,0,90000,4,4,1,1,1,0,0,0,4,2,57,16,0,48
194,1,0,1,0,90000,4,4,1,1,1,0,0,0,4,2,57,16,0,3
195,1,1,0,2,202500,0,1,1,1,1,0,0,0,8,4,41,9,0,41
196,1,1,0,2,202500,0,1,1,1,1,0,0,0,8,4,41,9,0,40
197,1,1,1,0,247500,4,4,1,1,1,0,0,0,4,2,35,12,0,14
198,1,1,1,1,765000,4,1,1,1,1,1,0,0,10,3,34,4,2,2
199,1,1,1,1,765000,4,1,1,1,1,1,0,0,10,3,34,4,0,4
200,1,1,1,1,765000,4,1,1,1,1,1,0,0,10,3,34,4,0,4
201,0,0,1,1,270000,0,4,1,1,1,0,0,1,0,3,38,13,0,25
202,0,0,1,1,270000,0,4,1,1,1,0,0,1,0,3,38,13,0,15
203,0,0,1,1,270000,0,4,1,1,1,0,0,1,0,3,38,13,0,18
204,0,0,1,0,315000,4,1,2,1,1,0,0,0,10,1,37,2,0,29
205,0,0,1,0,315000,4,1,2,1,1,0,0,0,10,1,37,2,0,28
206,1,1,1,2,157500,4,4,1,5,1,0,1,0,4,4,36,12,0,39
207,1,1,1,2,157500,4,4,1,5,1,0,1,0,4,4,36,12,0,28
208,1,1,1,2,157500,4,4,1,5,1,0,1,0,4,4,36,12,0,31
209,1,1,1,2,157500,4,4,1,5,1,0,1,0,4,4,36,12,0,61
210,1,0,1,0,360000,0,4,1,1,1,0,0,0,16,2,42,8,0,8
211,1,0,1,0,360000,0,4,1,1,1,0,0,0,16,2,42,8,0,21
212,0,0,1,0,112500,0,1,1,1,1,0,0,1,6,2,25,1,1,3
213,0,0,0,0,135000,4,4,0,1,1,1,1,0,10,2,27,5,0,34
214,0,0,0,0,135000,4,4,0,1,1,1,1,0,10,2,27,5,0,12
215,1,1,0,0,315000,4,1,1,1,1,1,1,0,10,2,44,11,0,36
216,1,1,0,0,315000,4,1,1,1,1,1,1,0,10,2,44,11,1,25
217,1,1,0,0,315000,4,1,1,1,1,1,1,0,10,2,44,11,0,13
218,1,1,0,0,315000,4,1,1,1,1,1,1,0,10,2,44,11,0,8
