,Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt
7251,1,1,1,0,315000,0,4,1,1,1,0,0,0,4,2,60,3,0,47
14046,0,0,0,0,157500,2,1,1,1,1,1,1,0,3,2,32,3,0,8
14441,0,0,1,0,157500,0,4,1,1,1,0,0,0,8,2,48,9,0,22
5399,0,1,1,2,135000,2,4,1,1,1,1,0,0,3,4,40,17,0,7
9384,1,0,0,1,225000,0,4,1,5,1,0,0,0,4,3,49,6,0,8
16420,1,1,1,1,337500,4,1,1,1,1,0,0,0,10,3,32,9,0,35
17495,1,1,1,0,135000,4,4,1,1,1,0,1,0,8,2,40,10,0,9
3169,1,0,1,0,135000,4,4,1,5,1,0,1,0,8,2,43,22,0,4
18977,0,1,1,2,234000,0,4,1,1,1,1,1,0,14,4,34,4,0,6
5919,1,1,1,0,90000,4,4,0,1,1,0,0,0,8,2,36,1,0,18
9237,0,0,1,2,202500,4,4,1,1,1,1,1,0,11,4,44,18,0,23
16785,0,0,1,0,315000,0,2,1,1,1,0,0,0,13,2,49,7,1,24
10008,0,0,1,0,166500,0,1,4,1,1,0,0,0,1,1,56,7,0,51
18017,1,0,1,0,148500,0,1,3,1,1,0,1,1,11,1,26,6,0,50
13310,0,1,1,0,292500,0,4,1,1,1,0,0,1,8,2,43,9,0,10
22783,1,0,0,0,450000,4,4,1,1,1,1,1,1,10,2,51,8,0,12
4570,0,0,1,1,135000,0,1,1,1,1,1,0,1,3,3,27,8,0,43
3366,1,1,1,0,166500,4,4,1,1,1,0,0,0,6,2,33,9,0,17
3791,1,0,0,0,157500,0,4,0,1,1,0,0,0,16,2,33,1,1,16
5954,0,0,1,0,67500,4,1,1,1,1,0,1,0,14,2,32,9,0,38
8024,1,1,0,1,247500,4,4,1,1,1,0,1,0,8,3,36,6,0,29
24707,0,0,1,0,135000,0,4,1,1,1,0,0,0,0,2,47,3,0,29
5533,0,0,1,0,135000,0,4,1,1,1,1,1,0,10,2,53,14,0,13
4879,1,1,1,0,247500,4,4,1,1,1,0,0,0,4,2,60,8,0,48
21112,0,0,1,0,225000,0,1,0,1,1,1,1,0,14,2,35,4,0,17
8640,0,1,1,1,225000,4,1,2,1,1,0,0,0,3,2,41,5,0,3
17062,0,0,1,0,112500,2,1,1,1,1,0,1,0,3,2,36,1,0,4
5362,1,1,0,0,202500,4,4,3,5,1,1,0,0,8,1,27,7,0,30
24451,1,1,1,0,202500,0,4,1,1,1,0,0,0,8,2,59,9,4,21
23848,0,0,1,0,360000,0,4,3,1,1,0,0,0,0,1,51,7,0,43
15853,1,0,0,1,207000,2,1,1,3,1,0,0,0,3,3,41,8,6,15
19788,1,1,1,1,315000,0,1,1,1,1,0,0,0,6,3,48,2,0,29
3245,0,0,0,1,90000,4,4,1,1,1,1,1,0,14,3,34,7,0,35
5134,0,0,1,0,135000,2,4,2,1,1,0,1,0,8,1,50,16,0,6
15506,0,1,1,0,225000,4,1,1,1,1,0,0,0,3,2,34,11,0,13
6614,1,1,0,0,76500,4,4,1,1,1,0,0,0,4,2,29,4,0,4
13460,0,0,0,0,90000,4,4,1,2,1,0,0,0,8,2,53,2,0,15
20322,0,0,0,2,139500,4,2,1,5,1,1,1,0,3,4,37,9,1,39
5902,0,1,0,0,180000,0,4,2,1,1,0,0,0,3,1,43,19,0,28
876,0,1,1,1,225000,4,1,1,1,1,1,1,0,6,3,39,5,0,18
